transaction_id,card_id,merchant_name,amount,location,timestamp,transaction_type,related_transaction_id,status
39,44,"Moreno, Case and Ortiz",4655.17,"43241 Steven Hollow Suite 258, East Emilyshire, MA 22010",2025-04-01T07:06:32,p2p_transfer,,declined
40,59,Williams-Nicholson,333.4,"90353 Stephen Fort Suite 853, South Lisaborough, RI 07711",2025-04-01T07:37:40,purchase,,declined
41,54,"Bryant, Thomas and Bell",3185.78,"69814 Richard Estate, Port Lindseymouth, HI 03571",2025-04-01T07:48:50,p2p_transfer,,declined
42,61,"Mcdonald, Wilson and Nguyen",203.78,"13911 Sanchez Brooks, North Savannahhaven, AR 72065",2025-04-01T07:49:04,atm_withdrawal,,declined
43,38,Andrews-Eaton,-199.6,"0324 Megan Points Apt. 147, New Katrinaview, CA 98260",2025-04-01T07:59:02,refund,,pending
44,55,"Greene, Williams and Lyons",1529.73,"5160 Collins Dale, East Jacquelineshire, NE 59033",2025-04-01T07:59:21,wire_transfer,,declined
45,23,"Cabrera, Simmons and Jenkins",1814.03,"070 Eric Flat, North Hannah, OK 70027",2025-04-01T08:11:41,purchase,,declined
46,18,"Mcconnell, Davis and Juarez",396.28,"3938 Andrea Mill Apt. 702, Reidchester, AZ 83922",2025-04-01T08:17:38,purchase,,pending
47,52,May Group,298.47,"3312 Owens Village Suite 690, Gibbston, SD 40615",2025-04-01T08:24:52,atm_withdrawal,,declined
48,66,Wyatt-Wells,183.51,"6033 Newman Port Apt. 608, New Veronicamouth, MO 99107",2025-04-01T08:25:04,atm_withdrawal,,declined
49,42,Zimmerman-Jordan,142.01,"7835 Geoffrey Ville Suite 831, West Katherine, NM 96107",2025-04-01T08:37:58,p2p_transfer,,declined
50,29,"Nelson, Haley and Lang",939.08,"999 Stephanie Place Suite 593, Comptonland, MO 36194",2025-04-01T08:40:29,bill_payment,,declined
51,20,Kline-Spence,4175.73,"2007 Anne Mills Apt. 206, Georgeborough, RI 76409",2025-04-01T09:28:55,p2p_transfer,,declined
52,8,Berger Group,2187.8,"264 Logan Court Apt. 949, Port Johnny, KY 42998",2025-04-01T09:41:18,p2p_transfer,,declined
53,55,"Kelly, Brown and Thomas",1742.15,"849 Gutierrez Stravenue Suite 531, Lake Alexis, CA 17633",2025-04-01T09:48:05,wire_transfer,,pending
54,51,Kelly PLC,-426.79,"PSC 0575, Box 9478, APO AP 13278",2025-04-01T10:07:33,refund,,pending
55,15,"Jennings, Harris and Tran",-42.19,"55114 Owens Inlet Apt. 175, Smithview, MP 31755",2025-04-01T10:16:15,refund,,pending
56,40,Huang-Logan,3717.25,"849 Kristin Tunnel Apt. 868, Williamsside, FM 14387",2025-04-01T10:18:23,p2p_transfer,,declined
57,29,Wheeler Ltd,138.34,"2058 Cox Brooks, East Anthonyborough, AR 61444",2025-04-01T10:20:56,purchase,,declined
58,38,Hartman PLC,1891.9,"637 Gray Way, East Matthewfort, NH 37663",2025-04-01T10:30:30,purchase,,declined
59,60,Cook-Jackson,851.86,"085 Arthur Crescent, North Stephen, ME 08824",2025-04-01T10:32:42,bill_payment,,declined
60,46,Smith-Wyatt,124.23,"Unit 8027 Box 0967, DPO AA 61397",2025-04-01T10:46:35,wire_transfer,,declined
61,7,"Owens, Mcbride and Castro",52.68,"95773 Anderson Cove, South Kaylaborough, FL 96446",2025-04-01T10:51:05,bill_payment,,declined
62,33,Douglas-Johnson,-253.08,"7941 Thomas Throughway, Karenchester, TX 57233",2025-04-01T11:10:00,refund,,pending
63,71,"Kane, Huff and Williamson",1844.15,"78956 Bass Crescent Suite 767, Selenachester, CA 50765",2025-04-01T11:24:25,p2p_transfer,,declined
64,46,Alexander-Freeman,1291.45,"85611 Phelps Road, Port Amyview, NE 62336",2025-04-01T11:27:22,purchase,,declined
65,25,"Gomez, Thomas and Peterson",977.41,"06491 Tina Creek, Adamberg, KY 29568",2025-04-01T11:37:45,bill_payment,,declined
66,30,"Adams, Costa and Nichols",1705.04,"324 Amy Prairie Suite 476, Davidport, TN 48323",2025-04-01T11:40:21,wire_transfer,,declined
67,2,"Bishop, Reeves and White",602.54,"866 Karen Mountain Suite 023, New Mark, GU 42840",2025-04-01T11:48:10,bill_payment,,declined
68,53,"Sanders, Smith and Miller",637.89,"8437 Castillo Haven, East Andrealand, WV 80588",2025-04-01T12:05:53,wire_transfer,,declined
69,68,Hutchinson Group,53.85,"09609 Nicholas Villages, South Joseph, VA 96183",2025-04-01T12:17:18,atm_withdrawal,,declined
70,54,"Jordan, Obrien and Young",1948.81,"6068 Hannah Radial, Williamsberg, VI 10746",2025-04-01T12:37:08,purchase,,declined
71,66,Solis and Sons,-123.59,"034 Eric Garden Suite 927, Port Donna, OH 56524",2025-04-01T12:44:24,refund,,pending
72,50,"Branch, Simpson and Porter",150.54,"45444 Tiffany Village Suite 750, East Emily, DC 72723",2025-04-01T13:07:48,atm_withdrawal,,pending
73,71,Herrera Ltd,1773.83,"88197 Wilson Hills, Robinsonchester, SC 61697",2025-04-01T13:26:55,purchase,,declined
74,66,"Bradford, Curry and Abbott",-381.65,"23329 Brown Pike Apt. 206, East Sethton, DC 24746",2025-04-01T13:38:25,refund,,pending
75,47,Fleming-Espinoza,811.72,"29605 Burns Inlet, Castillomouth, KY 08682",2025-04-01T13:39:36,purchase,,declined
76,59,Pierce Group,437.58,"79695 Derrick Prairie Suite 883, Diazfurt, AS 97502",2025-04-01T13:52:53,atm_withdrawal,,declined
77,65,"Edwards, Harrington and Farmer",3656.52,"USNS Ho, FPO AE 29998",2025-04-01T14:15:07,p2p_transfer,,declined
78,10,Moore-Dominguez,78.67,"3677 Jeffrey Skyway, Elizabethside, VA 22994",2025-04-01T14:29:26,purchase,,declined
79,34,Day-Brown,3400.66,"204 Sheila Ville Suite 127, Goodwinhaven, WA 73466",2025-04-01T14:39:12,p2p_transfer,,declined
80,63,"Villanueva, Barton and Herrera",2409.58,"385 Jenkins Shoal Suite 591, Lake Margaret, VT 21754",2025-04-01T14:43:49,wire_transfer,,declined
81,50,Brown Group,4094.82,"100 Brian Curve Suite 968, New Noah, FL 06493",2025-04-01T14:44:43,p2p_transfer,,declined
82,37,Wilson and Sons,-146.2,"50182 Franklin Circle Suite 915, East Johnland, DE 74202",2025-04-01T14:49:06,refund,,pending
83,39,Pena Inc,942.28,"18893 White Pike Suite 858, Port Bradley, GA 38732",2025-04-01T14:54:35,bill_payment,,declined
84,72,Garcia-Martinez,325.63,"3610 Kaitlyn Summit, East Danielle, RI 93154",2025-04-01T15:03:20,atm_withdrawal,,declined
85,72,Robinson-Ellis,4698.08,"Unit 0169 Box 1434, DPO AE 64747",2025-04-01T15:59:24,wire_transfer,,declined
86,34,"Lee, Henry and Liu",488.02,"15799 Micheal River Suite 022, West Melissa, WI 54554",2025-04-01T15:59:25,atm_withdrawal,,declined
87,13,Davis Group,384.6,"1555 King Trace, New Ryan, VA 43095",2025-04-01T16:01:09,atm_withdrawal,,declined
88,65,Atkinson-Edwards,-195.51,"38850 Brett Islands, Paulland, AS 33036",2025-04-01T16:17:36,refund,,pending
89,28,Ruiz-Frazier,-295.45,"Unit 8544 Box 9017, DPO AA 69264",2025-04-01T16:42:14,refund,,pending
90,19,Barajas-Richardson,2459.56,"8560 Hoffman Extensions Suite 890, East Scott, IL 58416",2025-04-01T16:42:43,p2p_transfer,,declined
91,6,James Ltd,1425.2,"1325 Patricia Plains Suite 950, Amyton, OR 74795",2025-04-01T16:52:26,purchase,,declined
92,55,Fernandez-Higgins,251.42,"Unit 7295 Box 3649, DPO AP 48227",2025-04-01T16:58:04,atm_withdrawal,,declined
93,3,"Anthony, Good and Nunez",143.73,"3015 Michael Street, Elizabethland, HI 21892",2025-04-01T17:03:34,bill_payment,,declined
94,55,"Burton, Phillips and Figueroa",1247.74,"PSC 9843, Box 8151, APO AE 90785",2025-04-01T17:06:25,purchase,,declined
95,10,"Martinez, Castro and Howell",622.54,"592 Rollins Junction, Kevinshire, NJ 94265",2025-04-01T17:10:02,bill_payment,,pending
96,65,"Hernandez, Calhoun and Knight",1446.56,"Unit 3868 Box 3015, DPO AP 94619",2025-04-01T17:25:43,wire_transfer,,declined
97,11,"Harrison, Dorsey and Smith",470.83,"085 Benjamin Ramp, Jonesshire, MP 42717",2025-04-01T17:35:23,atm_withdrawal,,declined
98,35,Tucker LLC,2201.66,"209 Thomas Unions Apt. 350, North Angela, GU 18402",2025-04-01T17:39:52,wire_transfer,,declined
99,67,Ruiz-Conley,48.43,"347 Jimenez Hills Apt. 765, North Erinhaven, DC 26416",2025-04-01T17:41:03,atm_withdrawal,,pending
100,29,Trevino LLC,266.75,"USNV Perez, FPO AA 28141",2025-04-01T17:54:42,purchase,,pending
101,72,"Thompson, Stephenson and Miller",306.94,"783 Charles Locks, Jessicaland, AR 81668",2025-04-01T18:02:24,wire_transfer,,declined
102,58,Velazquez Ltd,301.12,"28580 Lewis Rapid Suite 522, Jenkinsmouth, VI 70796",2025-04-01T18:48:48,atm_withdrawal,,declined
103,66,Jones LLC,3046.54,"9909 Cortez Island, East Williamborough, TN 98218",2025-04-01T19:13:16,wire_transfer,,declined
104,44,Rhodes and Sons,2314.01,"691 Holloway Extension Apt. 738, West Wendy, PW 86475",2025-04-01T19:19:43,wire_transfer,,declined
105,41,"Craig, Floyd and Newman",4173.56,"7742 Patrick Crossing, North Tamara, IN 66697",2025-04-01T19:39:12,p2p_transfer,,declined
106,16,Ramirez-Wong,2554.88,"21417 Brown Forges, Gailbury, MO 16644",2025-04-01T19:40:45,p2p_transfer,,declined
107,60,"Owens, Leonard and Lee",3761.63,"9354 Ryan Plain, Mitchellmouth, SC 98978",2025-04-01T19:51:54,wire_transfer,,declined
108,47,Smith-Johnson,57.21,"0873 Laura Fort Apt. 567, East Michael, DC 12975",2025-04-01T20:10:03,purchase,,declined
109,6,Gordon PLC,1918.89,"6824 Cooper Fort, New Sandraport, AK 75351",2025-04-01T20:10:37,p2p_transfer,,declined
110,66,Brown Ltd,1266.82,"15236 Raymond Plains, Adamsberg, SD 39335",2025-04-01T20:30:00,purchase,,declined
111,47,"Adams, Spence and Mann",717.13,"89393 Grace Dam, Farmerton, MI 50975",2025-04-01T20:42:00,bill_payment,,declined
112,32,"Mueller, Hill and Ward",-162.25,"8972 Beasley Junction, West Colin, UT 61002",2025-04-01T20:52:49,refund,,pending
113,62,Vega and Sons,4869.77,"43490 Brooke Stream Suite 183, North Sharonhaven, GA 31969",2025-04-01T20:59:15,p2p_transfer,,declined
114,54,Cummings Ltd,2408.17,"21685 Gregory Coves, Thomasborough, WI 01740",2025-04-01T21:01:27,p2p_transfer,,declined
115,71,Ali Group,4673.85,"347 Tyler Hill Suite 994, East Cherylport, KS 51093",2025-04-01T21:27:05,wire_transfer,,declined
116,3,Esparza Ltd,268.94,"67231 Robinson Plains Apt. 110, Miguelfurt, FM 01459",2025-04-01T21:34:10,bill_payment,,declined
117,14,Hood Ltd,-243.48,"80565 Michael Mountain, East Ericastad, MD 81856",2025-04-01T21:55:10,refund,,pending
118,49,"Green, Harris and Velez",-369.85,"57272 Jacob Ridges Suite 506, Jeffside, WY 98211",2025-04-01T21:57:35,refund,,pending
119,19,"Beard, Greene and Zimmerman",1576.33,"44149 Christina Lodge Suite 965, Johnton, DC 54017",2025-04-01T22:07:31,p2p_transfer,,declined
120,37,"Myers, Huff and Dunn",3824.48,"42801 Jackson Fork Apt. 267, New Kellyberg, MT 42895",2025-04-01T22:17:39,wire_transfer,,declined
121,57,Reynolds PLC,232.37,"44378 Jessica Haven, Leeton, NV 75336",2025-04-01T22:19:26,atm_withdrawal,,declined
122,57,Nelson-George,424.94,"925 Martin Square Suite 952, Conradmouth, LA 94106",2025-04-01T22:28:26,purchase,,declined
123,21,Stanley Inc,706.43,"86471 Nguyen Isle, Lake Brittany, CT 63758",2025-04-01T23:01:39,purchase,,declined
124,31,"Gentry, Butler and Porter",-242.52,"3089 Snyder Crescent, Mooremouth, MA 31543",2025-04-02T01:25:19,refund,,pending
125,43,Wood Ltd,1717.93,"9198 Michael Stravenue, Ryanmouth, NE 93983",2025-04-02T01:42:50,purchase,,declined
126,43,Greene Ltd,584.89,"6761 Mcdowell Walks Apt. 929, North Lisa, ND 59879",2025-04-02T01:44:17,bill_payment,,declined
127,66,Orozco-Day,544.61,"1985 Arellano Mission Suite 948, Lake Michaelmouth, PR 95045",2025-04-02T01:47:25,bill_payment,,declined
128,39,Wilson Inc,-217.72,"81964 Heidi Islands Apt. 090, New Emmaview, WA 94258",2025-04-02T01:57:04,refund,,pending
129,38,Martin Group,315.08,"185 Gray Isle Suite 563, Lopezberg, LA 32855",2025-04-02T02:20:11,atm_withdrawal,,declined
130,38,"Gonzalez, Rodriguez and Rodriguez",4274.48,"024 Munoz Corners, Andrewstad, ME 30648",2025-04-02T02:24:15,p2p_transfer,,declined
131,71,Perry-Miller,-262.21,"USNV Hall, FPO AP 36089",2025-04-02T02:26:40,refund,,pending
132,40,Calderon-Roberts,1575.09,"751 Wang Plaza, Lake Kathrynmouth, LA 29467",2025-04-02T03:15:44,purchase,,declined
133,28,Moyer-Garcia,219.67,"794 Erin Neck Suite 049, North Kylemouth, FL 34857",2025-04-02T03:30:41,atm_withdrawal,,declined
134,64,Bradley-Lopez,2679.46,"3418 Henry Point, Port Carolberg, PW 31278",2025-04-02T03:42:41,wire_transfer,,declined
135,41,Carson Group,399.13,"1159 Smith Square Suite 343, Lake Christopher, CA 91635",2025-04-02T03:43:16,bill_payment,,declined
136,69,Gonzalez Group,-244.77,"45828 Woodward Ports Apt. 517, Williamschester, IL 78259",2025-04-02T03:45:40,refund,,pending
137,68,Guerra-Lynn,836.22,"93080 West Estates, New Omarmouth, OK 48163",2025-04-02T03:59:21,purchase,,declined
138,10,Leonard Ltd,519.34,"571 Jerry Loop, Jenniferbury, MD 24526",2025-04-02T04:33:14,bill_payment,,declined
139,10,"Browning, Collins and Carter",-357.76,"8252 Martin Highway, North Baileyside, LA 22753",2025-04-02T05:09:46,refund,,pending
140,47,Mendez Inc,1871.58,"6167 Hannah Field Apt. 238, Lake Paulview, NV 01480",2025-04-02T05:34:18,purchase,,declined
141,12,Graham-Williams,306.5,"78933 Torres Brooks, Westchester, SC 27927",2025-04-02T06:04:42,atm_withdrawal,,declined
142,44,"Clark, Vang and Richards",436.63,"56708 Jessica Views Apt. 505, South Brendabury, NY 08014",2025-04-02T06:22:41,purchase,,declined
143,31,"Anderson, Reese and Mendoza",-105.09,"795 Russell Highway, North Mary, NH 47548",2025-04-02T06:30:20,refund,,pending
144,10,Gonzalez PLC,541.91,"243 Maurice Canyon Apt. 153, Mckenziemouth, CA 68497",2025-04-02T07:35:14,purchase,,declined
145,19,"Curry, Perez and Chung",218.51,"7800 Carroll Station Apt. 639, West Samuel, UT 49755",2025-04-02T08:12:59,bill_payment,,declined
146,22,Murray Ltd,-57.97,"1431 Catherine Streets, West Ambershire, MA 50234",2025-04-02T08:20:22,refund,,pending
147,14,Roberts-Watson,103.48,"712 Emily Hollow, Catherineshire, ND 75680",2025-04-02T08:48:05,atm_withdrawal,,declined
148,48,Cole-Juarez,4418.5,"47999 Richard Rapids Apt. 670, South Dianachester, AS 95996",2025-04-02T09:03:48,p2p_transfer,,declined
149,72,Owens LLC,-324.49,"50143 Murphy Mill Apt. 258, East Brentburgh, IL 55503",2025-04-02T09:33:46,refund,,pending
150,56,"Mccullough, Escobar and Herring",933.72,"9867 Charles Meadows Apt. 941, Kimberlyberg, MN 25094",2025-04-02T10:04:20,bill_payment,,declined
151,25,Smith-Kelly,517.87,"76110 James Loaf, Brownbury, ME 52431",2025-04-02T10:13:39,bill_payment,,pending
152,8,"Griffith, Clark and Rivera",3763.01,"PSC 5568, Box 2821, APO AA 73029",2025-04-02T10:18:33,wire_transfer,,declined
153,26,"Martin, Leon and Gordon",79.09,"5576 Julie Cliff Apt. 412, Port Felicia, OK 92572",2025-04-02T10:20:18,atm_withdrawal,,declined
154,10,"Houston, Gentry and Wallace",4426.07,"4133 Chelsea Forest, North Catherineport, UT 51970",2025-04-02T10:23:27,wire_transfer,,declined
155,52,"Davis, Jenkins and Cochran",2451.37,"0843 Anthony Circle Suite 964, Port Danielbury, PW 61467",2025-04-02T10:26:25,wire_transfer,,declined
156,65,"Petty, Davis and Gomez",507.45,"7218 Micheal Manors, New Russellburgh, MH 75274",2025-04-02T10:57:21,bill_payment,,declined
157,42,"Mcguire, Hunter and Garcia",235.73,"PSC 5104, Box 5162, APO AE 37293",2025-04-02T11:11:40,atm_withdrawal,,declined
158,12,Young-Jackson,44.77,"3912 Jim Turnpike, Shaneberg, TX 14665",2025-04-02T11:20:32,atm_withdrawal,,declined
159,58,"Jordan, Oconnor and Gross",418.85,"649 Edwin Shoals, Wrightmouth, PW 71918",2025-04-02T11:23:38,atm_withdrawal,,declined
160,13,"English, Smith and Cohen",428.87,"05415 James Dam Apt. 992, Kerrburgh, ID 61772",2025-04-02T11:25:12,bill_payment,,declined
161,72,James-Schmidt,4698.94,"513 Adams Common Suite 840, New Damonfurt, TN 32195",2025-04-02T11:39:43,p2p_transfer,,declined
162,30,"Todd, Palmer and Weber",-174.66,"76497 Charles Light, Katherineport, MO 13977",2025-04-02T12:03:32,refund,,pending
163,39,Alexander-Harrell,4651.38,"407 Anthony Square, Staceyville, NY 11723",2025-04-02T12:37:45,p2p_transfer,,declined
164,30,Harmon Group,3120.4,"46191 Gomez Ranch Apt. 667, Port Brandonburgh, OH 46455",2025-04-02T12:54:07,wire_transfer,,declined
165,30,Davenport Inc,1360.68,"8568 Holden Harbors, Rachelport, WI 11217",2025-04-02T13:07:10,wire_transfer,,declined
166,33,"Duran, Monroe and Hernandez",767.89,"80494 Ryan Locks, North Kimberly, WI 71493",2025-04-02T13:24:47,bill_payment,,declined
167,6,"Sullivan, Lee and Williams",400.13,"57018 Ryan Plaza, Lake Joseview, LA 07776",2025-04-02T13:41:42,atm_withdrawal,,declined
168,63,Johnson-Ortiz,405.28,"80846 Victoria Brooks Apt. 723, South David, MD 62652",2025-04-02T13:54:14,atm_withdrawal,,declined
169,65,Robertson-Ali,1551.59,"USS Vazquez, FPO AE 43968",2025-04-02T14:08:53,wire_transfer,,declined
170,10,"Sandoval, Hayes and Thompson",941.37,"73254 Tran Ferry Apt. 466, West Jenniferfurt, MT 01536",2025-04-02T14:31:36,bill_payment,,declined
171,57,Wolf-Zimmerman,2007.14,"296 Russell Spurs Suite 631, East Dawnville, NV 86533",2025-04-02T14:41:52,wire_transfer,,declined
172,49,Morris-Nicholson,253.9,"095 Allen Ports Apt. 222, Lake Jennifer, NM 63104",2025-04-02T14:47:34,purchase,,declined
173,24,"Hunter, Johnson and Jackson",992.2,"7605 Medina Islands, Port Samuel, CA 03072",2025-04-02T15:03:34,bill_payment,,declined
174,65,Kelley-Aguilar,694.62,"76286 Cook Terrace Apt. 218, Amymouth, WV 10026",2025-04-02T15:07:20,purchase,,declined
175,39,Luna Ltd,872.28,"5020 Jackson Circles Suite 713, Kylestad, MO 72714",2025-04-02T15:10:38,bill_payment,,pending
176,23,Bell Inc,2598.44,"02902 John Inlet Apt. 580, Floreshaven, ME 09000",2025-04-02T15:11:12,p2p_transfer,,declined
177,66,Hill and Sons,314.17,"408 Brian Row Apt. 451, West Elizabeth, KS 22610",2025-04-02T15:15:16,purchase,,pending
178,34,"Kent, Johnson and Duncan",2912.89,"59085 Clark Hills, Michaeltown, NH 48617",2025-04-02T15:38:53,wire_transfer,,declined
179,58,Martin-Blankenship,4312.39,"15173 Alan Wells, New Johnchester, MS 19553",2025-04-02T15:43:54,p2p_transfer,,declined
180,48,Calderon Ltd,-369.68,"06723 Ronald Station Suite 807, West Michaelshire, FL 56087",2025-04-02T16:03:36,refund,,pending
181,72,Rhodes Group,4915.69,"6683 Reginald Route, Johnburgh, OR 57517",2025-04-02T16:05:54,p2p_transfer,,declined
182,25,Pierce-Wilson,1091.47,"5816 Paul Rue, Freemanport, CA 73972",2025-04-02T16:11:19,purchase,,declined
183,12,"Mcknight, Jones and Barber",986.85,"Unit 4627 Box 4259, DPO AP 20027",2025-04-02T16:19:00,bill_payment,,declined
184,11,Mcdonald PLC,723.28,"Unit 4747 Box 1134, DPO AE 12198",2025-04-02T16:21:13,purchase,,declined
185,12,Keller-Smith,3583.75,"87407 Beth Trafficway Apt. 169, West Benjamin, VA 74737",2025-04-02T16:28:51,wire_transfer,,declined
186,1,"Oconnell, Scott and Ross",72.89,"4491 Franco Route, East Cassandra, MS 29372",2025-04-02T16:44:50,wire_transfer,,declined
187,40,"Strickland, Lowery and Rivera",33.38,"7061 Moody Stream Apt. 312, Lake Jessicashire, ND 89719",2025-04-02T16:47:44,purchase,,declined
188,43,Moore Ltd,740.73,"1443 Lisa Terrace Suite 583, North Bethburgh, DC 66465",2025-04-02T18:04:17,bill_payment,,declined
189,13,Vaughan-Decker,1139.09,"Unit 3905 Box 6052, DPO AE 69270",2025-04-02T18:27:55,p2p_transfer,,declined
190,69,Berg Ltd,279.22,"447 Christine Causeway, Port Hollyhaven, MS 34652",2025-04-02T18:39:26,bill_payment,,declined
191,48,"Campos, Barrett and Walls",1203.42,"0997 Watson Club, North Ashley, MI 52445",2025-04-02T18:43:39,wire_transfer,,declined
192,25,Smith Ltd,648.57,"71176 Mooney Pass, East Dominique, WY 25650",2025-04-02T18:51:10,bill_payment,,declined
193,6,"Acosta, Rosales and Buchanan",350.86,"059 Jason Glen Apt. 567, Potterhaven, PR 79934",2025-04-02T19:27:36,purchase,,declined
194,15,Harrison LLC,345.3,"26245 Boyd Route Suite 477, Port Nathan, DE 64802",2025-04-02T19:39:26,purchase,,declined
195,4,Salinas LLC,133.2,"4201 Kelly Field Apt. 893, Harryhaven, UT 06678",2025-04-02T19:51:02,atm_withdrawal,,declined
196,49,Walsh LLC,1950.84,"3854 Richard Mount, East Isabel, NY 58256",2025-04-02T19:55:27,purchase,,declined
197,67,Adams and Sons,192.21,"725 Smith Canyon, South Nathan, HI 81165",2025-04-02T19:55:53,atm_withdrawal,,declined
198,56,Luna PLC,-278.42,"318 Cabrera Wall, Lake Henry, CA 90688",2025-04-02T19:56:27,refund,,pending
199,26,"Banks, Brown and Smith",2456.62,"9491 Valerie Forest, North Thomas, MS 74141",2025-04-02T20:03:55,wire_transfer,,declined
200,39,"Williams, Walker and Soto",-262.99,"9371 John Stravenue Apt. 159, West Vincent, IN 72371",2025-04-02T20:09:10,refund,,pending
201,15,Cooper PLC,287.99,"89593 Smith Extension Suite 438, Lopezland, CT 25964",2025-04-02T20:25:36,bill_payment,,declined
